,COGN3,VALE3,WEGE3,COGN3
2022-11-17,"2,35","81,08","39,23","2,35"
2022-11-18,"2,26","78,86","38,97","2,26"
2022-11-21,"2,31","77,97","39,17","2,31"
2022-11-22,"2,3","78,19","38,59","2,3"
2022-11-23,"2,3","78,96","38,63","2,3"
2022-11-24,"2,37","79,47","39,44","2,37"
2022-11-25,"2,28","78,93","38,79","2,28"
2022-11-28,"2,19","79,32","37,2","2,19"
2022-11-29,"2,25","82,38","37,41","2,25"
2022-11-30,"2,24","83,62","38,69","2,24"
2022-12-01,"2,2","84,08","38,0","2,2"
2022-12-02,"2,2","84,69","38,35","2,2"
2022-12-05,"2,12","84,6","37,3","2,12"
2022-12-06,"2,18","85,83","37,41","2,18"
2022-12-07,"2,2","82,78","36,96","2,2"
2022-12-08,"2,12","83,79","36,9","2,12"
2022-12-09,"2,1","86,58","36,8","2,1"
2022-12-12,"2,0","83,99","35,78","2,0"
2022-12-13,"1,97","84,31","35,5","1,97"
2022-12-14,"2,07","85,02","36,76","2,07"
2022-12-15,"2,06","85,3","36,78","2,06"
2022-12-16,"1,97","83,84","37,15","1,97"
2022-12-19,"2,05","83,53","37,86","2,05"
2022-12-20,"2,12","83,91","38,17","2,12"
2022-12-21,"2,13","84,39","38,14","2,13"
2022-12-22,"2,12","83,91","38,68","2,12"
2022-12-23,"2,17","84,46","38,24","2,17"
2022-12-26,"2,16","85,24","37,93","2,16"
2022-12-27,"2,06","87,27","37,75","2,06"
2022-12-28,"2,16","87,08","38,44","2,16"
2022-12-29,"2,12","86,97","38,25","2,12"
2023-01-02,"2,05","87,48","37,84","2,05"
2023-01-03,"1,95","87,32","36,9","1,95"
2023-01-04,"2,03","87,48","37,15","2,03"
2023-01-05,"2,05","88,95","37,23","2,05"
2023-01-06,"2,09","90,35","37,77","2,09"
2023-01-09,"2,11","90,45","37,66","2,11"
2023-01-10,"2,21","91,57","37,29","2,21"
2023-01-11,"2,24","91,25","38,34","2,24"
2023-01-12,"2,2","91,72","38,25","2,2"
2023-01-13,"2,14","91,8","38,71","2,14"
2023-01-16,"2,08","90,27","37,43","2,08"
2023-01-17,"2,12","90,15","38,05","2,12"
2023-01-18,"2,18","91,33","37,73","2,18"
2023-01-19,"2,16","91,72","37,65","2,16"
2023-01-20,"2,17","91,97","37,08","2,17"
2023-01-23,"2,16","92,27","37,12","2,16"
2023-01-24,"2,22","93,25","36,96","2,22"
2023-01-25,"2,23","94,13","38,46","2,23"
2023-01-26,"2,2","95,89","37,95","2,2"
2023-01-27,"2,16","93,27","37,65","2,16"
2023-01-30,"2,16","92,94","37,1","2,16"
2023-01-31,"2,38","92,48","37,98","2,38"
2023-02-01,"2,35","91,45","38,13","2,35"
2023-02-02,"2,4","87,22","37,78","2,4"
2023-02-03,"2,23","87,04","37,65","2,23"
2023-02-06,"2,22","85,95","37,31","2,22"
2023-02-07,"2,2","86,52","37,41","2,2"
2023-02-08,"2,23","86,81","37,4","2,23"
2023-02-09,"2,18","86,49","37,72","2,18"
2023-02-10,"2,16","84,93","38,34","2,16"
2023-02-13,"2,17","84,85","38,32","2,17"
2023-02-14,"2,13","85,23","38,1","2,13"
2023-02-15,"2,17","87,09","38,62","2,17"
2023-02-16,"2,2","87,27","38,52","2,2"
2023-02-17,"2,2","86,14","39,35","2,2"
2023-02-22,"2,22","85,48","38,36","2,22"
2023-02-23,"2,17","85,08","39,2","2,17"
2023-02-24,"2,12","83,21","38,82","2,12"
2023-02-27,"2,09","83,21","38,76","2,09"
2023-02-28,"2,02","83,49","39,12","2,02"
2023-03-01,"2,0","87,28","39,34","2,0"
2023-03-02,"1,96","87,09","39,12","1,96"
2023-03-03,"1,98","87,38","38,8","1,98"
2023-03-06,"2,01","84,3","39,39","2,01"
2023-03-07,"2,02","83,5","39,55","2,02"
2023-03-08,"2,2","84,26","40,12","2,2"
2023-03-09,"2,22","83,15","39,82","2,22"
2023-03-10,"2,13","82,88","39,5","2,13"
2023-03-13,"2,19","83,22","39,75","2,19"
2023-03-14,"2,18","83,98","40,22","2,18"
2023-03-15,"2,28","81,45","40,03","2,28"
2023-03-16,"2,26","81,75","40,26","2,26"
2023-03-17,"2,23","82,73","39,83","2,23"
2023-03-20,"2,16","83,41","39,7","2,16"
2023-03-21,"2,14","82,71","39,96","2,14"
2023-03-22,"2,14","81,68","39,52","2,14"
2023-03-23,"2,03","79,58","39,89","2,03"
2023-03-24,"1,85","78,67","40,51","1,85"
2023-03-27,"1,81","78,54","41,19","1,81"
2023-03-28,"1,81","79,37","41,37","1,81"
2023-03-29,"1,76","80,51","41,73","1,76"
2023-03-30,"1,82","81,82","41,86","1,82"
2023-03-31,"1,87","80,29","40,55","1,87"
2023-04-03,"1,8","80,31","39,59","1,8"
2023-04-04,"1,78","78,04","39,63","1,78"
2023-04-05,"1,79","76,89","38,75","1,79"
2023-04-06,"1,78","76,75","38,61","1,78"
2023-04-10,"1,77","78,16","38,33","1,77"
2023-04-11,"1,93","82,84","39,04","1,93"
