,WEGE3
2022-11-17,"39,23"
2022-11-18,"38,97"
2022-11-21,"39,17"
2022-11-22,"38,59"
2022-11-23,"38,63"
2022-11-24,"39,44"
2022-11-25,"38,79"
2022-11-28,"37,2"
2022-11-29,"37,41"
2022-11-30,"38,69"
2022-12-01,"38,0"
2022-12-02,"38,35"
2022-12-05,"37,3"
2022-12-06,"37,41"
2022-12-07,"36,96"
2022-12-08,"36,9"
2022-12-09,"36,8"
2022-12-12,"35,78"
2022-12-13,"35,5"
2022-12-14,"36,76"
2022-12-15,"36,78"
2022-12-16,"37,15"
2022-12-19,"37,86"
2022-12-20,"38,17"
2022-12-21,"38,14"
2022-12-22,"38,68"
2022-12-23,"38,24"
2022-12-26,"37,93"
2022-12-27,"37,75"
2022-12-28,"38,44"
2022-12-29,"38,25"
2023-01-02,"37,84"
2023-01-03,"36,9"
2023-01-04,"37,15"
2023-01-05,"37,23"
2023-01-06,"37,77"
2023-01-09,"37,66"
2023-01-10,"37,29"
2023-01-11,"38,34"
2023-01-12,"38,25"
2023-01-13,"38,71"
2023-01-16,"37,43"
2023-01-17,"38,05"
2023-01-18,"37,73"
2023-01-19,"37,65"
2023-01-20,"37,08"
2023-01-23,"37,12"
2023-01-24,"36,96"
2023-01-25,"38,46"
2023-01-26,"37,95"
2023-01-27,"37,65"
2023-01-30,"37,1"
2023-01-31,"37,98"
2023-02-01,"38,13"
2023-02-02,"37,78"
2023-02-03,"37,65"
2023-02-06,"37,31"
2023-02-07,"37,41"
2023-02-08,"37,4"
2023-02-09,"37,72"
2023-02-10,"38,34"
2023-02-13,"38,32"
2023-02-14,"38,1"
2023-02-15,"38,62"
2023-02-16,"38,52"
2023-02-17,"39,35"
2023-02-22,"38,36"
2023-02-23,"39,2"
2023-02-24,"38,82"
2023-02-27,"38,76"
2023-02-28,"39,12"
2023-03-01,"39,34"
2023-03-02,"39,12"
2023-03-03,"38,8"
2023-03-06,"39,39"
2023-03-07,"39,55"
2023-03-08,"40,12"
2023-03-09,"39,82"
2023-03-10,"39,5"
2023-03-13,"39,75"
2023-03-14,"40,22"
2023-03-15,"40,03"
2023-03-16,"40,26"
2023-03-17,"39,83"
2023-03-20,"39,7"
2023-03-21,"39,96"
2023-03-22,"39,52"
2023-03-23,"39,89"
2023-03-24,"40,51"
2023-03-27,"41,19"
2023-03-28,"41,37"
2023-03-29,"41,73"
2023-03-30,"41,86"
2023-03-31,"40,55"
2023-04-03,"39,59"
2023-04-04,"39,63"
2023-04-05,"38,75"
2023-04-06,"38,61"
2023-04-10,"38,33"
2023-04-11,"39,04"
